City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Te Anau,NZ,54.36,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
225,Byron Bay,AU,77.0,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
226,Pacifica,US,54.0,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
227,Vintar,PH,77.0,overcast clouds,18.2284,120.6475,VYBE Hotel
232,Ancud,CL,59.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
237,Umm Lajj,SA,70.68,clear sky,25.0213,37.2685,Moon light Furnished Units
238,Moerai,PF,80.98,clear sky,-22.4333,-151.3333,Le Manotel
241,Darnah,LY,54.93,clear sky,32.766999999999996,22.6367,فندق الفردوس
242,Sungaipenuh,ID,64.99,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
252,Vicosa,BR,65.17,clear sky,-20.7539,-42.8819,Vivant Residence
254,Cam Ranh,VN,73.4,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
257,Nouadhibou,MR,66.2,clear sky,20.930999999999997,-17.0347,El Medina
258,Katobu,ID,80.53,light rain,-4.9408,122.5276,La Ode Husein
260,Natal,BR,80.6,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
262,Cap Malheureux,MU,77.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
263,Kruisfontein,ZA,68.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
266,Omboue,GA,77.25,overcast clouds,-1.5746,9.2618,Hotel Olako
269,Princeton,US,71.01,clear sky,25.5384,-80.4089,American Best Inn
270,Dakar,SN,64.4,broken clouds,14.6937,-17.4441,Novotel Dakar
271,Bunia,CD,68.38,overcast clouds,1.5667,30.25,Gold Star International Hotel
272,Sawtell,AU,82.4,clear sky,-30.3833,153.1,Island Beach House Sawtell
273,Gladstone,AU,80.6,scattered clouds,-23.85,151.25,Highpoint International
275,Manggar,ID,79.48,light rain,-2.8833,108.2667,Guest Hotel
277,Rajgarh,IN,52.03,clear sky,28.6333,75.3833,Nand Plaza Hotel & Bar
278,Kanye,BW,71.17,broken clouds,-24.9667,25.3327,The Savanna Lodge
279,Bubaque,GW,76.86,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
280,Miranda,CO,75.2,moderate rain,3.2499,-76.2281,unidiversidad organica la utopia
286,Arlit,NE,59.9,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
291,Codrington,AU,88.07,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
298,Garoua,CM,71.19,broken clouds,9.3,13.4,Hotel De L'Amitie
299,Vila Velha,BR,79.0,light rain,-20.3297,-40.2925,Hotel Vitória Palace
300,Hurghada,EG,55.4,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
302,Pundaguitan,PH,80.89,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
303,Laguna,US,59.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
306,Ahipara,NZ,70.7,few clouds,-35.1667,173.1667,Ahipara Holiday Park
307,Dalby,AU,82.0,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
309,Puerto Escondido,MX,82.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
311,Constitucion,CL,60.04,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
313,Tukrah,LY,55.09,few clouds,32.5341,20.5791,Lokta restaurant
314,Don Sak,TH,73.0,few clouds,9.3168,99.6918,Sea Sun Moon Hostel
315,Saldanha,ZA,62.6,broken clouds,-33.0117,17.9442,Blue Bay Lodge
317,Marsh Harbour,BS,73.62,few clouds,26.5412,-77.0636,Abaco Beach Resort
321,Couva,TT,78.8,few clouds,10.4225,-61.4675,Metro Hotel
323,Chimoio,MZ,69.26,overcast clouds,-19.1164,33.4833,Predio Livraria Ahmed
324,Santa Cecilia,BR,62.02,overcast clouds,-26.9608,-50.4269,Hotel Italiano
325,Meulaboh,ID,74.77,scattered clouds,4.1363,96.1285,Kost Pria
326,Warri,NG,77.47,overcast clouds,5.5167,5.75,BON Hotel Delta
327,Salalah,OM,68.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
328,Kudahuvadhoo,MV,83.23,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
330,Cururupu,BR,77.11,light rain,-1.8283,-44.8683,Pousada Través'cia
332,Katghora,IN,54.64,broken clouds,22.5,82.55,Deppak bhojanalay new bus stand
334,Buin,CL,80.6,clear sky,-33.7333,-70.75,Paihuen
335,Kalmunai,LK,74.19,few clouds,7.4167,81.8167,VS Villa
337,Panorama,GR,53.01,overcast clouds,40.5878,23.0315,Panorama Hotel
338,Mahibadhoo,MV,83.57,overcast clouds,3.7833,72.9667,Omadhoo Inn
342,Alyangula,AU,84.2,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
345,Tuatapere,NZ,57.99,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
346,Mount Isa,AU,89.6,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
349,Wukari,NG,73.54,overcast clouds,7.85,9.7833,Elimtop
351,Sao Joao Da Barra,BR,75.67,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
352,Mount Gambier,AU,86.0,overcast clouds,-37.8333,140.7667,Commodore on the Park
353,San Fernando,PH,77.0,broken clouds,15.0286,120.6898,Maharlika Hostel
355,Port Lincoln,AU,75.16,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
356,Kalagarh,IN,54.46,scattered clouds,29.5,78.75,Ram Medical Home
357,Quelimane,MZ,77.61,overcast clouds,-17.8786,36.8883,Hotel Flamingo
358,Itarema,BR,79.9,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
359,Rancho Palos Verdes,US,55.99,broken clouds,33.7445,-118.387,Terranea Resort
362,Nelson Bay,AU,89.01,clear sky,-32.7167,152.15,Mantra Nelson Bay
364,Puerto Madryn,AR,65.86,few clouds,-42.7692,-65.0385,Hotel Tolosa
368,Hobyo,SO,76.37,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
376,Karratha,AU,85.48,clear sky,-20.7377,116.8463,ibis Styles Karratha
377,Matamoros,MX,84.2,broken clouds,25.5333,-103.25,Quinta Belem
378,Yulara,AU,78.8,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
379,Cuite,BR,70.86,broken clouds,-6.4836,-36.1536,Hotel Planalto
384,Conde,BR,78.8,clear sky,-7.2597,-34.9075,Pousada Beija Flor
387,Biak,ID,78.78,overcast clouds,-0.9131,122.8766,Penginapan Kim
391,Cabedelo,BR,78.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
395,Dzilam Gonzalez,MX,75.31,clear sky,21.2833,-88.9333,posadas
396,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
400,Tabuk,PH,72.46,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
402,Valparaiso,CL,62.6,few clouds,-33.0393,-71.6273,Hotel Ultramar
403,Boca Do Acre,BR,74.62,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
404,Tecoanapa,MX,80.6,overcast clouds,16.5167,-98.75,Hotel Manglares
405,Dilla,ET,60.78,broken clouds,6.41,38.31,Afomiya Pension
406,Asosa,ET,64.54,few clouds,10.0667,34.5333,Blendana Hotel Assosa
408,Mar Del Plata,AR,77.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
410,Cayenne,GF,77.0,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
412,Sulangan,PH,80.8,overcast clouds,11.1373,123.7228,Maia's Beach Resort
413,Rawson,AR,65.5,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
415,Matara,LK,71.78,few clouds,5.9485,80.5353,Amaloh Boutique Resort
419,Praia Da Vitoria,PT,62.6,light rain,38.7333,-27.0667,Hotel Branco I
421,Lata,PT,55.99,overcast clouds,40.1629,-8.3327,Casa Maquia
423,Oriximina,BR,78.85,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
428,Tupelo,US,53.6,overcast clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
430,San Quintin,MX,58.19,broken clouds,30.4833,-115.95,Old Mill Hotel
432,Wanxian,CN,53.82,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
433,Barra Do Garcas,BR,75.16,light rain,-15.89,-52.2567,Hotel Pousada Tropical
434,Mandera,KE,79.25,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
435,Bayir,TR,53.6,light rain,37.2687,28.2167,Hotel Babadag
437,Cotonou,BJ,80.6,haze,6.3654,2.4183,Novotel Cotonou Orisha
438,Diamantino,BR,76.6,light rain,-14.4086,-56.4461,Hotel Delta
439,Eyl,SO,72.1,overcast clouds,7.9803,49.8164,Amiin Hotel
440,Mitsamiouli,KM,81.28,overcast clouds,-11.3847,43.2844,Foyer ADM
441,Port Macquarie,AU,86.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
443,Boma,GH,71.01,clear sky,7.0805,-2.1697,Obaatanpa Hotel
444,Galesong,ID,78.8,few clouds,-5.3166,119.3661,Sapriadi Appy
445,Trinidad,BO,77.0,light rain,-14.8333,-64.9,Hotel Piesta
446,Labuhan,ID,79.21,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
448,Odweyne,SO,64.54,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
449,Prieska,ZA,81.9,scattered clouds,-29.6641,22.7474,Avenue GuestHouse
455,Kailua,US,80.6,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
456,Moron,AR,86.0,clear sky,-34.6534,-58.6198,Hotel Morón
459,Stephenville,US,53.6,overcast clouds,32.2207,-98.2023,Holiday Inn Express & Suites Stephenville
463,Aquiraz,BR,80.6,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
465,Owando,CG,73.58,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
467,Sao Joaquim,BR,58.46,broken clouds,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
469,Chiknayakanhalli,IN,63.59,few clouds,13.4172,76.6228,Shiva mess
474,Naze,JP,66.2,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
476,Bandarbeyla,SO,72.79,broken clouds,9.4942,50.8122,JABIR HOTEL
477,Sambava,MG,76.5,light rain,-14.2667,50.1667,Melrose
478,Balabac,PH,79.93,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
483,Chuy,UY,70.63,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
485,Atar,MR,64.44,scattered clouds,20.5169,-13.0499,Oumou Elghoura
486,Altamira,BR,74.28,light rain,-3.2033,-52.2064,Requinte Hotel
487,Rio Claro,BR,78.8,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
488,Ekuvukeni,ZA,64.71,clear sky,-28.4675,30.1551,Sibeko Resident
490,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
494,Sao Filipe,CV,73.36,broken clouds,14.8961,-24.4956,Tortuga B&B
497,Vangaindrano,MG,76.46,clear sky,-23.35,47.6,Hotel Fanilo
499,Majene,ID,78.89,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
501,Port-Gentil,GA,77.0,light rain,-0.7193,8.7815,Fengshui Residence
502,Asifabad,IN,65.53,few clouds,19.3667,79.2833,సిడం కైలాష్
503,Morro Bay,US,57.0,few clouds,35.3658,-120.8499,Inn at Morro Bay
504,Bardiyah,LY,54.37,clear sky,31.7561,25.0865,بورتو بردية
505,Charters Towers,AU,79.81,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
506,Vanimo,PG,85.39,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
507,Sur,OM,65.35,clear sky,22.5667,59.5289,Sur Plaza Hotel
510,Boa Vista,BR,82.4,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
