City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,40,3.44,scattered clouds
215,Queanbeyan,AU,-35.35,149.2333,90.0,37,0,13.8,clear sky
216,Bulgan,MN,48.8125,103.5347,7.23,93,100,3.67,overcast clouds
217,Jega,NG,12.2175,4.3792,70.61,19,63,10.8,broken clouds
218,Sumbe,AO,-11.2061,13.8437,74.57,78,36,4.14,scattered clouds
219,Malaya Serdoba,RU,52.4661,44.9512,33.69,96,100,10.74,overcast clouds
220,Hualmay,PE,-11.0964,-77.6139,72.68,72,93,5.06,overcast clouds
221,Souillac,MU,-20.5167,57.5167,77.0,88,40,3.44,scattered clouds
222,Honiara,SB,-9.4333,159.95,85.96,57,95,5.17,overcast clouds
223,Te Anau,NZ,-45.4167,167.7167,54.36,85,100,7.56,overcast clouds
224,Ueno,JP,34.75,136.1333,46.99,98,100,3.0,overcast clouds
225,Byron Bay,AU,-28.65,153.6167,77.0,61,90,2.3,overcast clouds
226,Pacifica,US,37.6138,-122.4869,54.0,76,20,11.5,few clouds
227,Vintar,PH,18.2284,120.6475,77.0,78,90,10.36,overcast clouds
228,Sorland,NO,67.667,12.6934,26.2,93,65,12.46,broken clouds
229,Neryungri,RU,56.6709,124.6491,-39.37,79,16,2.66,few clouds
230,Fairbanks,US,64.8378,-147.7164,23.0,78,75,2.75,broken clouds
231,Palana,RU,59.1167,159.9667,-2.81,95,100,2.8,overcast clouds
232,Ancud,CL,-41.8697,-73.8203,59.0,72,0,6.91,clear sky
233,Virginia Beach,US,36.8529,-75.978,36.0,44,1,9.22,clear sky
234,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,20,17.27,few clouds
235,Perelyub,RU,51.8667,50.3667,33.46,97,100,11.34,light snow
236,Belyy Yar,RU,53.6039,91.3903,1.4,78,0,4.47,clear sky
237,Umm Lajj,SA,25.0213,37.2685,70.68,43,0,8.32,clear sky
238,Moerai,PF,-22.4333,-151.3333,80.98,73,5,11.52,clear sky
239,Nadvoitsy,RU,63.8667,34.3167,31.68,98,87,10.27,overcast clouds
240,Magadan,RU,59.5667,150.8,-10.66,80,57,9.66,broken clouds
241,Darnah,LY,32.767,22.6367,54.93,47,0,24.2,clear sky
242,Sungaipenuh,ID,-2.0833,101.3833,64.99,88,100,3.76,overcast clouds
243,Kodiak,US,57.79,-152.4072,39.2,56,40,8.05,scattered clouds
244,Deputatskiy,RU,69.3,139.9,-35.52,85,100,1.77,overcast clouds
245,Boden,SE,65.8252,21.6886,10.4,85,90,6.91,overcast clouds
246,Zhangjiakou,CN,40.81,114.8794,21.83,83,3,1.12,clear sky
247,Oskarshamn,SE,57.2645,16.4484,30.0,95,100,5.99,overcast clouds
248,Maniitsoq,GL,65.4167,-52.9,17.91,77,0,3.98,clear sky
249,Ilulissat,GL,69.2167,-51.1,19.4,38,9,20.71,clear sky
250,Mandali,IQ,33.7499,45.5541,46.35,52,34,3.69,scattered clouds
251,Dharchula,IN,29.85,80.5333,45.16,55,9,5.39,clear sky
252,Vicosa,BR,-20.7539,-42.8819,65.17,94,8,5.06,clear sky
253,Severo-Kurilsk,RU,50.6789,156.125,21.88,95,91,32.59,snow
254,Cam Ranh,VN,11.9214,109.1591,73.4,78,20,4.61,few clouds
255,Ust-Omchug,RU,61.15,149.6333,-29.92,78,92,5.08,overcast clouds
256,Balkhash,KZ,46.844,74.9804,4.05,90,54,7.56,broken clouds
257,Nouadhibou,MR,20.931,-17.0347,66.2,77,0,16.11,clear sky
258,Katobu,ID,-4.9408,122.5276,80.53,82,97,3.0,light rain
259,Saint-Louis,SN,16.3333,-15.0,71.6,20,0,2.3,clear sky
260,Natal,BR,-5.795,-35.2094,80.6,74,20,12.66,light rain
261,Norman Wells,CA,65.282,-126.8329,-16.6,76,75,3.44,broken clouds
262,Cap Malheureux,MU,-19.9842,57.6142,77.0,78,5,1.99,light rain
263,Kruisfontein,ZA,-34.0033,24.7314,68.0,87,100,1.01,overcast clouds
264,Saint-Augustin,CA,51.226,-58.6502,26.6,98,100,8.34,light snow
265,Verkhnyaya Toyma,RU,62.2349,44.9985,11.64,96,100,7.18,light snow
266,Omboue,GA,-1.5746,9.2618,77.25,86,98,3.71,overcast clouds
267,Paamiut,GL,61.994,-49.6678,20.1,80,0,9.19,clear sky
268,Walvis Bay,NA,-22.9575,14.5053,71.01,88,100,3.44,moderate rain
269,Princeton,US,25.5384,-80.4089,71.01,73,1,4.61,clear sky
270,Dakar,SN,14.6937,-17.4441,64.4,82,82,6.91,broken clouds
271,Bunia,CD,1.5667,30.25,68.38,57,98,3.62,overcast clouds
272,Sawtell,AU,-30.3833,153.1,82.4,47,0,12.66,clear sky
273,Gladstone,AU,-23.85,151.25,80.6,61,40,13.8,scattered clouds
274,Husavik,IS,66.0449,-17.3389,30.2,86,90,21.85,light snow
275,Manggar,ID,-2.8833,108.2667,79.48,85,100,8.1,light rain
276,Shihezi,CN,44.3,86.0333,10.44,93,95,3.91,overcast clouds
277,Rajgarh,IN,28.6333,75.3833,52.03,49,0,5.61,clear sky
278,Kanye,BW,-24.9667,25.3327,71.17,28,77,1.39,broken clouds
279,Bubaque,GW,11.2833,-15.8333,76.86,69,2,14.18,clear sky
280,Miranda,CO,3.2499,-76.2281,75.2,69,20,9.22,moderate rain
281,Sangar,RU,63.9242,127.4739,-57.14,57,86,3.96,overcast clouds
282,Banepa,NP,27.6298,85.5214,42.8,93,20,2.3,mist
283,Micheweni,TZ,-4.9667,39.8333,79.14,83,100,9.01,overcast clouds
284,Longyearbyen,SJ,78.2186,15.6401,8.6,72,75,12.66,broken clouds
285,Nikolskoye,RU,59.7035,30.7861,33.8,86,90,8.95,overcast clouds
286,Arlit,NE,18.7369,7.3853,59.9,27,0,6.53,clear sky
287,Volchikha,RU,52.0333,80.3833,-1.12,93,100,6.17,overcast clouds
288,Northam,GB,51.0333,-4.2167,34.0,82,55,7.0,broken clouds
289,Dali,CN,25.7,100.1833,41.47,82,33,5.08,scattered clouds
290,Sept-Iles,CA,50.2001,-66.3821,30.0,74,100,14.97,overcast clouds
291,Codrington,AU,-38.2667,141.9667,88.07,29,99,4.61,overcast clouds
292,Saint-Francois,FR,46.4154,3.9054,37.4,87,90,8.05,overcast clouds
293,West Wendover,US,40.7391,-114.0733,33.8,86,90,7.7,light snow
294,Leningradskiy,RU,69.3833,178.4167,-15.72,81,41,2.82,scattered clouds
295,Rock Springs,US,41.5875,-109.2029,21.2,86,90,9.22,mist
296,Bitlis,TR,38.5,42.25,12.94,86,2,3.76,clear sky
297,Talaya,RU,61.3833,152.75,-30.95,80,100,3.71,overcast clouds
298,Garoua,CM,9.3,13.4,71.19,23,60,1.68,broken clouds
299,Vila Velha,BR,-20.3297,-40.2925,79.0,83,20,7.29,light rain
300,Hurghada,EG,27.2574,33.8129,55.4,50,0,5.75,clear sky
301,Fukue,JP,32.6881,128.8419,51.8,76,75,24.16,broken clouds
302,Pundaguitan,PH,6.3711,126.1689,80.89,77,100,6.15,overcast clouds
303,Laguna,US,38.421,-121.4238,59.0,47,1,5.75,clear sky
304,Kropotkin,RU,45.4375,40.5756,35.01,83,29,6.53,scattered clouds
305,Chupa,RU,66.27,33.0549,13.73,96,100,7.02,light snow
306,Ahipara,NZ,-35.1667,173.1667,70.7,64,15,9.42,few clouds
307,Dalby,AU,-27.1833,151.2667,82.0,45,29,1.01,scattered clouds
308,Daokou,CN,35.5639,114.5058,35.31,77,83,4.97,broken clouds
309,Puerto Escondido,MX,15.85,-97.0667,82.4,69,40,3.44,scattered clouds
310,Melfi,IT,40.9965,15.6514,42.01,81,42,4.0,scattered clouds
311,Constitucion,CL,-35.3333,-72.4167,60.04,90,14,4.05,few clouds
312,Vernon,CA,50.2581,-119.2691,27.0,59,39,2.3,scattered clouds
313,Tukrah,LY,32.5341,20.5791,55.09,45,14,15.66,few clouds
314,Don Sak,TH,9.3168,99.6918,73.0,100,20,4.68,few clouds
315,Saldanha,ZA,-33.0117,17.9442,62.6,67,57,11.5,broken clouds
316,Valer,NO,60.6785,11.8331,21.2,100,40,1.7,fog
317,Marsh Harbour,BS,26.5412,-77.0636,73.62,69,19,10.22,few clouds
318,Vila,PT,42.0304,-8.1588,46.99,95,100,13.47,overcast clouds
319,Enid,US,36.3956,-97.8784,46.4,87,90,17.27,overcast clouds
320,Jaisalmer,IN,26.9147,70.9181,50.76,36,0,7.38,clear sky
321,Couva,TT,10.4225,-61.4675,78.8,73,20,5.75,few clouds
322,Katsuura,JP,35.1333,140.3,39.0,100,75,23.02,light rain
323,Chimoio,MZ,-19.1164,33.4833,69.26,98,100,8.81,overcast clouds
324,Santa Cecilia,BR,-26.9608,-50.4269,62.02,100,100,3.87,overcast clouds
325,Meulaboh,ID,4.1363,96.1285,74.77,91,42,4.34,scattered clouds
326,Warri,NG,5.5167,5.75,77.47,82,100,3.47,overcast clouds
327,Salalah,OM,17.0151,54.0924,68.0,34,0,13.8,clear sky
328,Kudahuvadhoo,MV,2.6708,72.8944,83.23,65,100,7.45,overcast clouds
329,Shimoda,JP,34.6667,138.95,42.8,93,75,34.52,light rain
330,Cururupu,BR,-1.8283,-44.8683,77.11,86,88,4.47,light rain
331,Rocky Mountain House,CA,52.3668,-114.9188,6.8,85,100,6.91,overcast clouds
332,Katghora,IN,22.5,82.55,54.64,42,61,1.86,broken clouds
333,Nemuro,JP,43.3236,145.575,12.2,85,20,8.05,few clouds
334,Buin,CL,-33.7333,-70.75,80.6,44,0,8.05,clear sky
335,Kalmunai,LK,7.4167,81.8167,74.19,81,12,7.74,few clouds
336,Shirokiy,RU,49.758,129.523,-11.06,88,41,8.39,scattered clouds
337,Panorama,GR,40.5878,23.0315,53.01,74,100,7.63,overcast clouds
338,Mahibadhoo,MV,3.7833,72.9667,83.57,60,92,4.36,overcast clouds
339,Kenai,US,60.5544,-151.2583,36.0,80,90,11.5,overcast clouds
340,Beroroha,MG,-21.6667,45.1667,74.91,86,100,1.99,overcast clouds
341,Hvide Sande,DK,56.0045,8.1294,37.99,81,98,20.0,overcast clouds
342,Alyangula,AU,-13.8483,136.4192,84.2,84,40,5.75,scattered clouds
343,Lar,IN,26.2039,83.9717,51.33,81,0,2.66,clear sky
344,Hamilton,US,39.1834,-84.5333,28.99,50,1,3.44,clear sky
345,Tuatapere,NZ,-46.1333,167.6833,57.99,80,96,20.0,overcast clouds
346,Mount Isa,AU,-20.7333,139.5,89.6,40,49,10.36,scattered clouds
347,Oga,IT,46.4631,10.347,30.99,85,80,2.3,broken clouds
